학교명,시도,행정구,학교급,설립,지역규모,위도,경도,학생수,교원수,정규교원수,기간제교원수,직원수,교원1인당학생수,학생1인당교지면적,기간제비율,정규교원비율,직원당학생수,학생수_log,교지면적_log,cluster,cluster_type,최종유형,과밀score,소멸score,교원밀도_norm,기간제score,과밀등급,소멸등급,기간제등급,과밀target,소멸target,기간제target
가곡고등학교,강원,삼척시,고등학교,공립,특수지역,37.14634584,129.2048268,5.0,7.0,7.0,0.0,3.0,0.7,2284.8,0.0,1.0,1.6666666666666667,1.791759469228055,7.7344713514634975,0,도심밀집형,과밀형,0.42017499343774606,0.14583333333333331,0.015267175572519083,0.0045801526717557245,일반,TOP1,일반,0,1,0
가산초등학교,강원,춘천시,초등학교,공립,면지역,37.90800105,127.7824565,62.0,11.0,11.0,0.0,9.0,5.6,253.1,0.0,1.0,6.888888888888889,4.143134726391533,5.537727890326118,2,일반형,일반형,3.361574183392365,0.0496031746031746,0.20229007633587787,0.06068702290076336,일반,일반,일반,0,0,0
가정중학교,강원,춘천시,중학교,공립,특수지역,37.73679302,127.5777363,106.0,25.0,23.0,2.0,15.0,4.2,178.6,0.08,0.92,7.066666666666666,4.672828834461906,5.190732155868099,2,일반형,일반형,2.522227171492205,0.023903666427030915,0.1488549618320611,0.10065648854961831,일반,일반,일반,0,0,0
간동고등학교,강원,화천군,고등학교,공립,면지역,38.0563712,127.7915913,38.0,12.0,10.0,2.0,4.0,3.2,499.0,0.16666666666666666,0.8333333333333334,9.5,3.6635616461296463,6.214608098422191,0,도심밀집형,과밀형,1.9207999999999998,0.05128205128205128,0.11068702290076336,0.14987277353689565,일반,일반,일반,0,0,0
간동중학교,강원,화천군,중학교,공립,면지역,38.05634052,127.7915913,13.0,9.0,8.0,1.0,9.0,1.4,1458.7,0.1111111111111111,0.8888888888888888,1.4444444444444444,2.6390573296152584,7.285986214136533,0,도심밀집형,과밀형,0.84027402891005,0.08571428571428572,0.04198473282442748,0.09037319762510601,일반,TOP3,일반,0,1,0
간성초등학교,강원,고성군,초등학교,공립,읍지역,38.37730554,128.4687327,283.0,26.0,26.0,0.0,17.0,10.9,64.3,0.0,1.0,16.647058823529413,5.648974238161206,4.178992036282385,3,초과밀형,과밀형,6.546125574272588,0.02027908189880021,0.40458015267175573,0.12137404580152672,일반,일반,일반,0,0,0
갈래초등학교,강원,정선군,초등학교,공립,특수지역,37.19487669,128.8657343,54.0,11.0,11.0,0.0,12.0,4.9,203.1,0.0,1.0,4.5,4.007333185232471,5.318610069815799,0,도심밀집형,과밀형,2.9419598236158744,0.05075757575757575,0.17557251908396948,0.052671755725190846,일반,일반,일반,0,0,0
갑천고등학교,강원,횡성군,고등학교,공립,면지역,37.56069062,128.1143746,46.0,9.0,9.0,0.0,4.0,5.1,451.0,0.0,1.0,11.5,3.8501476017100584,6.113682179832232,0,도심밀집형,과밀형,3.060884955752212,0.06063829787234043,0.183206106870229,0.0549618320610687,일반,일반,일반,0,0,0
갑천초등학교,강원,횡성군,초등학교,공립,면지역,37.55755136,128.107661,7.0,4.0,4.0,0.0,5.0,1.8,1768.0,0.0,1.0,1.4,2.0794415416798357,7.478169694159785,0,도심밀집형,과밀형,1.0802261164499718,0.1625,0.05725190839694657,0.01717557251908397,일반,TOP1,일반,0,1,0
강동초등학교,강원,강릉시,초등학교,공립,면지역,37.72474403,128.9623406,47.0,12.0,12.0,0.0,8.0,3.9,363.6,0.0,1.0,5.875,3.871201010907891,5.8988008622445625,0,도심밀집형,과밀형,2.3410970927043335,0.04887820512820513,0.13740458015267176,0.04122137404580153,일반,일반,일반,0,0,0
